seed,noise_model_id,noise_family,circuit_template,phasewrap_mean_absolute_score_error,best_positional_comparator_mean_absolute_score_error,no_position_control_mean_absolute_score_error,positional_margin_shot_quanta,control_margin_shot_quanta,stable_strict_target
1618,biased_observable_plus_2pct,observable_bias,two_ry_cx_parity_z_readout_v1,0.008110056118,0.006861645608,0.010009765625,-5.113489,7.78121,False
2718,biased_observable_plus_2pct,observable_bias,two_ry_cx_parity_z_readout_v1,0.008126485351,0.007496497968,0.010009765625,-2.580428,7.713916,False
314,biased_observable_plus_2pct,observable_bias,two_ry_cx_parity_z_readout_v1,0.008741028729,0.007820954879,0.010009765625,-3.768622,5.196746,False
577,biased_observable_plus_2pct,observable_bias,two_ry_cx_parity_z_readout_v1,0.008749838298,0.008443346132,0.010009765625,-1.255392,5.160662,False
1618,biased_observable_plus_2pct,observable_bias,two_ry_product_state_z_readout_v1,0.008110056118,0.006861645608,0.010009765625,-5.113489,7.78121,False
2718,biased_observable_plus_2pct,observable_bias,two_ry_product_state_z_readout_v1,0.008126485351,0.007496497968,0.010009765625,-2.580428,7.713916,False
314,biased_observable_plus_2pct,observable_bias,two_ry_product_state_z_readout_v1,0.008741028729,0.007820954879,0.010009765625,-3.768622,5.196746,False
577,biased_observable_plus_2pct,observable_bias,two_ry_product_state_z_readout_v1,0.008749838298,0.008443346132,0.010009765625,-1.255392,5.160662,False
1618,ideal_deterministic_counts,ideal,two_ry_cx_parity_z_readout_v1,1.9215521e-05,1.1672742e-05,0.0,-0.030895,-0.078707,False
2718,ideal_deterministic_counts,ideal,two_ry_cx_parity_z_readout_v1,1.1698803e-05,1.3557404e-05,0.0,0.007613,-0.047918,False
314,ideal_deterministic_counts,ideal,two_ry_cx_parity_z_readout_v1,1.6213611e-05,1.6410593e-05,0.0,0.000807,-0.066411,False
577,ideal_deterministic_counts,ideal,two_ry_cx_parity_z_readout_v1,1.1595857e-05,1.6787526e-05,0.0,0.021265,-0.047497,False
1618,ideal_deterministic_counts,ideal,two_ry_product_state_z_readout_v1,1.9215521e-05,1.1672742e-05,0.0,-0.030895,-0.078707,False
2718,ideal_deterministic_counts,ideal,two_ry_product_state_z_readout_v1,1.1698803e-05,1.3557404e-05,0.0,0.007613,-0.047918,False
314,ideal_deterministic_counts,ideal,two_ry_product_state_z_readout_v1,1.6213611e-05,1.6410593e-05,0.0,0.000807,-0.066411,False
577,ideal_deterministic_counts,ideal,two_ry_product_state_z_readout_v1,1.1595857e-05,1.6787526e-05,0.0,0.021265,-0.047497,False
1618,observable_depolarizing_5pct,observable_depolarizing,two_ry_cx_parity_z_readout_v1,0.012947298141,0.012699075614,0.0,-1.016719,-53.032133,False
2718,observable_depolarizing_5pct,observable_depolarizing,two_ry_cx_parity_z_readout_v1,0.009715230879,0.00880593626,0.0,-3.724471,-39.793586,False
314,observable_depolarizing_5pct,observable_depolarizing,two_ry_cx_parity_z_readout_v1,0.009660219004,0.008173061144,0.0,-6.091399,-39.568257,False
577,observable_depolarizing_5pct,observable_depolarizing,two_ry_cx_parity_z_readout_v1,0.00962142074,0.008725196397,0.0,-3.670935,-39.409339,False
1618,observable_depolarizing_5pct,observable_depolarizing,two_ry_product_state_z_readout_v1,0.012947298141,0.012699075614,0.0,-1.016719,-53.032133,False
2718,observable_depolarizing_5pct,observable_depolarizing,two_ry_product_state_z_readout_v1,0.009715230879,0.00880593626,0.0,-3.724471,-39.793586,False
314,observable_depolarizing_5pct,observable_depolarizing,two_ry_product_state_z_readout_v1,0.009660219004,0.008173061144,0.0,-6.091399,-39.568257,False
577,observable_depolarizing_5pct,observable_depolarizing,two_ry_product_state_z_readout_v1,0.00962142074,0.008725196397,0.0,-3.670935,-39.409339,False
1618,readout1pct_ry_overrotation1pct_bias1pct,combined_readout_coherent_bias,two_ry_cx_parity_z_readout_v1,0.0058901082,0.00628632895,0.002685546875,1.62292,-13.125883,False
2718,readout1pct_ry_overrotation1pct_bias1pct,combined_readout_coherent_bias,two_ry_cx_parity_z_readout_v1,0.005740316328,0.005463161236,0.002685546875,-1.135227,-12.512336,False
314,readout1pct_ry_overrotation1pct_bias1pct,combined_readout_coherent_bias,two_ry_cx_parity_z_readout_v1,0.005731080821,0.004551540656,0.002685546875,-4.831397,-12.474507,False
577,readout1pct_ry_overrotation1pct_bias1pct,combined_readout_coherent_bias,two_ry_cx_parity_z_readout_v1,0.006020346522,0.004796058213,0.002685546875,-5.014685,-13.659339,False
1618,readout1pct_ry_overrotation1pct_bias1pct,combined_readout_coherent_bias,two_ry_product_state_z_readout_v1,0.003814912887,0.003705255143,0.002685546875,-0.449158,-4.625883,False
2718,readout1pct_ry_overrotation1pct_bias1pct,combined_readout_coherent_bias,two_ry_product_state_z_readout_v1,0.004000814375,0.002691352566,0.002685546875,-5.363556,-5.387336,False
314,readout1pct_ry_overrotation1pct_bias1pct,combined_readout_coherent_bias,two_ry_product_state_z_readout_v1,0.003976320078,0.002578995635,0.002685546875,-5.723441,-5.287007,False
577,readout1pct_ry_overrotation1pct_bias1pct,combined_readout_coherent_bias,two_ry_product_state_z_readout_v1,0.004570761561,0.002652034915,0.002685546875,-7.859104,-7.721839,False
1618,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.00710318193,0.007436029069,0.0,1.363342,-29.094633,False
2718,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.006846578535,0.005857551296,0.0,-4.051056,-28.043586,False
314,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.006669496348,0.004913590362,0.0,-7.192191,-27.318257,False
577,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.007057944178,0.005207497172,0.0,-7.579431,-28.909339,False
1618,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.005157686325,0.005084939871,0.0,-0.297969,-21.125883,False
2718,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.00384059709,0.003556912822,0.0,-1.161971,-15.731086,False
314,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.003838990977,0.003290248644,0.0,-2.247649,-15.724507,False
577,readout_bitflip_1pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.003807822108,0.003453284776,0.0,-1.452185,-15.596839,False
1618,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.021095491501,0.022023431412,0.0,3.800842,-86.407133,False
2718,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.020228536543,0.017263496121,0.0,-12.144806,-82.856086,False
314,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.019669984629,0.014518998077,0.0,-21.098441,-80.568257,False
577,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_cx_parity_z_readout_v1,0.020737448572,0.01525540977,0.0,-22.454431,-84.940589,False
1618,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.015526033493,0.015262552176,0.0,-1.079219,-63.594633,False
2718,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.011668355879,0.01059121458,0.0,-4.411971,-47.793586,False
314,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.011559938242,0.00978286339,0.0,-7.278899,-47.349507,False
577,readout_bitflip_3pct,symmetric_readout_bitflip,two_ry_product_state_z_readout_v1,0.011513510584,0.010441810166,0.0,-4.389685,-47.159339,False
1618,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_cx_parity_z_readout_v1,0.005645742222,0.005467455955,0.010009765625,-0.730261,17.87504,False
2718,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_cx_parity_z_readout_v1,0.005553019044,0.005030967853,0.010009765625,-2.138322,18.254834,False
314,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_cx_parity_z_readout_v1,0.005663268146,0.005683073442,0.010009765625,0.081122,17.803254,False
577,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_cx_parity_z_readout_v1,0.005227212483,0.005785474669,0.010009765625,2.286642,19.589338,True
1618,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_product_state_z_readout_v1,0.005645742222,0.005467455955,0.010009765625,-0.730261,17.87504,False
2718,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_product_state_z_readout_v1,0.005553019044,0.005030967853,0.010009765625,-2.138322,18.254834,False
314,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_product_state_z_readout_v1,0.005663268146,0.005683073442,0.010009765625,0.081122,17.803254,False
577,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_product_state_z_readout_v1,0.005227212483,0.005785474669,0.010009765625,2.286642,19.589338,True
1618,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.008712758824,0.008511584373,0.015625,-0.824011,28.31254,False
2718,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.008475077149,0.00760207381,0.015625,-3.575822,29.286084,False
314,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.00959240633,0.008994230668,0.015625,-2.450128,24.709504,False
577,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.009049539143,0.008611492082,0.015625,-1.794241,26.933088,False
1618,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.008712758824,0.008511584373,0.015625,-0.824011,28.31254,False
2718,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.008475077149,0.00760207381,0.015625,-3.575822,29.286084,False
314,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.00959240633,0.008994230668,0.015625,-2.450128,24.709504,False
577,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.009049539143,0.008611492082,0.015625,-1.794241,26.933088,False
1618,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.00905610104,0.008654553323,0.015625,-1.644739,26.90621,False
2718,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.008774983886,0.007873781266,0.015625,-3.691326,28.057666,False
314,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.009992249432,0.009392610152,0.015625,-2.456122,23.071746,False
577,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.009535665935,0.008554645613,0.015625,-4.018259,24.941912,False
1618,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.00905610104,0.008654553323,0.015625,-1.644739,26.90621,False
2718,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.008774983886,0.007873781266,0.015625,-3.691326,28.057666,False
314,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.009992249432,0.009392610152,0.015625,-2.456122,23.071746,False
577,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.009535665935,0.008554645613,0.015625,-4.018259,24.941912,False
