task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high
phase_cued_retrieval,no_position,1,0,-0.00894,0.213342,0.213342,0.213342,1.237808,1.237808,1.237808,1.0,1.0,1.0,1.0,1.0,1.0,0.80814,0.80814,0.80814,0.80814,0.80814,0.80814,0.19186,0.19186,0.19186,10.41506,10.41506,10.41506,33358.237134,33358.237134,33358.237134,0.0,0.0,0.0,0.009901,0.009901,0.009901,3e-05,3e-05,3e-05,0.515211,0.515211,0.515211,0.515211,0.515211,0.515211,10.133296,10.133296,10.133296,25167.173409,25167.173409,25167.173409,0.0,0.0,0.0,0.042767,0.042767,0.042767,4e-05,4e-05,4e-05,0.550059,0.550059,0.550059,0.550059,0.550059,0.550059,0.229737,0.229737,0.229737
phase_cued_retrieval,sinusoidal,1,0,0.435758,0.217204,0.217204,0.217204,1.242597,1.242597,1.242597,1.0,1.0,1.0,1.0,1.0,1.0,0.805004,0.805004,0.805004,0.805004,0.805004,0.805004,0.194996,0.194996,0.194996,10.39494,10.39494,10.39494,32693.791318,32693.791318,32693.791318,0.0,0.0,0.0,0.010101,0.010101,0.010101,3.1e-05,3.1e-05,3.1e-05,0.509388,0.509388,0.509388,0.509388,0.509388,0.509388,10.139542,10.139542,10.139542,25324.867544,25324.867544,25324.867544,0.0,0.0,0.0,0.042767,0.042767,0.042767,4e-05,4e-05,4e-05,0.545106,0.545106,0.545106,0.545106,0.545106,0.545106,0.233414,0.233414,0.233414
phase_cued_retrieval,alibi,1,0,1.031517,0.205613,0.205613,0.205613,1.228278,1.228278,1.228278,1.0,1.0,1.0,1.0,1.0,1.0,0.814412,0.814412,0.814412,0.814412,0.814412,0.814412,0.185588,0.185588,0.185588,10.466988,10.466988,10.466988,35136.21559,35136.21559,35136.21559,0.0,0.0,0.0,0.009901,0.009901,0.009901,2.8e-05,2.8e-05,2.8e-05,0.537525,0.537525,0.537525,0.537525,0.537525,0.537525,10.150975,10.150975,10.150975,25616.072765,25616.072765,25616.072765,0.0,0.0,0.0,0.040684,0.040684,0.040684,3.9e-05,3.9e-05,3.9e-05,0.538852,0.538852,0.538852,0.538852,0.538852,0.538852,0.222911,0.222911,0.222911
phase_cued_retrieval,rope_relative,1,0,0.823456,0.213375,0.213375,0.213375,1.237849,1.237849,1.237849,1.0,1.0,1.0,1.0,1.0,1.0,0.808127,0.808127,0.808127,0.808127,0.808127,0.808127,0.191873,0.191873,0.191873,10.422132,10.422132,10.422132,33594.975993,33594.975993,33594.975993,0.0,0.0,0.0,0.009901,0.009901,0.009901,3e-05,3e-05,3e-05,0.519757,0.519757,0.519757,0.519757,0.519757,0.519757,10.165335,10.165335,10.165335,25986.563052,25986.563052,25986.563052,0.0,0.0,0.0,0.041054,0.041054,0.041054,3.8e-05,3.8e-05,3.8e-05,0.530959,0.530959,0.530959,0.530959,0.530959,0.530959,0.229641,0.229641,0.229641
phase_cued_retrieval,phasewrap_bias,1,0,1.350155,0.149548,0.149548,0.149548,1.161309,1.161309,1.161309,1.0,1.0,1.0,1.0,1.0,1.0,0.861114,0.861114,0.861114,0.861114,0.861114,0.861114,0.138886,0.138886,0.138886,10.335898,10.335898,10.335898,30819.364306,30819.364306,30819.364306,0.0,0.0,0.0,0.008929,0.008929,0.008929,3.2e-05,3.2e-05,3.2e-05,0.672287,0.672287,0.672287,0.672287,0.672287,0.672287,9.077385,9.077385,9.077385,8755.04163,8755.04163,8755.04163,0.0,0.0,0.0,0.040936,0.040936,0.040936,0.000117,0.000117,0.000117,0.532911,0.532911,0.532911,0.532911,0.532911,0.532911,0.180388,0.180388,0.180388
phase_cued_retrieval,phasewrap_adapter,1,0,1.334144,0.151541,0.151541,0.151541,1.163626,1.163626,1.163626,1.0,1.0,1.0,1.0,1.0,1.0,0.859393,0.859393,0.859393,0.859393,0.859393,0.859393,0.140607,0.140607,0.140607,10.392287,10.392287,10.392287,32607.156078,32607.156078,32607.156078,0.0,0.0,0.0,0.008929,0.008929,0.008929,3.1e-05,3.1e-05,3.1e-05,0.673043,0.673043,0.673043,0.673043,0.673043,0.673043,9.163143,9.163143,9.163143,9538.988658,9538.988658,9538.988658,0.0,0.0,0.0,0.040936,0.040936,0.040936,0.000109,0.000109,0.000109,0.537187,0.537187,0.537187,0.537187,0.537187,0.537187,0.183487,0.183487,0.183487
exact_offset_passkey,no_position,1,0,-0.00894,0.694229,0.694229,0.694229,2.002164,2.002164,2.002164,0.5,0.5,0.5,0.75,0.75,0.75,0.499551,0.499551,0.499551,0.50913,0.50913,0.50913,0.00913,0.00913,0.00913,11.853402,11.853402,11.853402,140561.756615,140561.756615,140561.756615,0.0,0.0,0.0,0.016667,0.016667,0.016667,7e-06,7e-06,7e-06,0.50913,0.50913,0.50913,0.50913,0.50913,0.50913,11.902971,11.902971,11.902971,147704.797633,147704.797633,147704.797633,0.0,0.0,0.0,0.011834,0.011834,0.011834,7e-06,7e-06,7e-06,0.50913,0.50913,0.50913,0.50913,0.50913,0.50913,0.694394,0.694394,0.694394
exact_offset_passkey,sinusoidal,1,0,0.568327,0.694229,0.694229,0.694229,2.002166,2.002166,2.002166,0.5,0.5,0.5,0.75,0.75,0.75,0.499551,0.499551,0.499551,0.509142,0.509142,0.509142,0.009142,0.009142,0.009142,11.852984,11.852984,11.852984,140503.028219,140503.028219,140503.028219,0.0,0.0,0.0,0.016667,0.016667,0.016667,7e-06,7e-06,7e-06,0.509142,0.509142,0.509142,0.509142,0.509142,0.509142,11.902539,11.902539,11.902539,147641.001946,147641.001946,147641.001946,0.0,0.0,0.0,0.011834,0.011834,0.011834,7e-06,7e-06,7e-06,0.509142,0.509142,0.509142,0.509142,0.509142,0.509142,0.694395,0.694395,0.694395
exact_offset_passkey,alibi,1,0,-0.464538,0.694229,0.694229,0.694229,2.002165,2.002165,2.002165,0.5,0.5,0.5,0.75,0.75,0.75,0.499551,0.499551,0.499551,0.509126,0.509126,0.509126,0.009126,0.009126,0.009126,11.852959,11.852959,11.852959,140499.408476,140499.408476,140499.408476,0.0,0.0,0.0,0.016667,0.016667,0.016667,7e-06,7e-06,7e-06,0.509126,0.509126,0.509126,0.509126,0.509126,0.509126,11.902512,11.902512,11.902512,147637.075287,147637.075287,147637.075287,0.0,0.0,0.0,0.011834,0.011834,0.011834,7e-06,7e-06,7e-06,0.509126,0.509126,0.509126,0.509126,0.509126,0.509126,0.694394,0.694394,0.694394
exact_offset_passkey,rope_relative,1,0,0.50745,0.694228,0.694228,0.694228,2.002163,2.002163,2.002163,0.5,0.5,0.5,0.75,0.75,0.75,0.499552,0.499552,0.499552,0.509126,0.509126,0.509126,0.009126,0.009126,0.009126,11.853639,11.853639,11.853639,140595.049551,140595.049551,140595.049551,0.0,0.0,0.0,0.016667,0.016667,0.016667,7e-06,7e-06,7e-06,0.509126,0.509126,0.509126,0.509126,0.509126,0.509126,11.903221,11.903221,11.903221,147741.768992,147741.768992,147741.768992,0.0,0.0,0.0,0.011834,0.011834,0.011834,7e-06,7e-06,7e-06,0.509126,0.509126,0.509126,0.509126,0.509126,0.509126,0.694394,0.694394,0.694394
exact_offset_passkey,phasewrap_bias,1,0,0.490189,0.694226,0.694226,0.694226,2.00216,2.00216,2.00216,0.5,0.5,0.5,0.75,0.75,0.75,0.499552,0.499552,0.499552,0.509125,0.509125,0.509125,0.009125,0.009125,0.009125,11.855496,11.855496,11.855496,140856.306532,140856.306532,140856.306532,0.0,0.0,0.0,0.016667,0.016667,0.016667,7e-06,7e-06,7e-06,0.509125,0.509125,0.509125,0.509125,0.509125,0.509125,11.905231,11.905231,11.905231,148038.995402,148038.995402,148038.995402,0.0,0.0,0.0,0.011834,0.011834,0.011834,7e-06,7e-06,7e-06,0.509125,0.509125,0.509125,0.509125,0.509125,0.509125,0.694394,0.694394,0.694394
exact_offset_passkey,phasewrap_adapter,1,0,0.490777,0.694226,0.694226,0.694226,2.002159,2.002159,2.002159,0.5,0.5,0.5,0.75,0.75,0.75,0.499552,0.499552,0.499552,0.509122,0.509122,0.509122,0.009122,0.009122,0.009122,11.855641,11.855641,11.855641,140876.810136,140876.810136,140876.810136,0.0,0.0,0.0,0.016667,0.016667,0.016667,7e-06,7e-06,7e-06,0.509122,0.509122,0.509122,0.509122,0.509122,0.509122,11.905384,11.905384,11.905384,148061.680222,148061.680222,148061.680222,0.0,0.0,0.0,0.011834,0.011834,0.011834,7e-06,7e-06,7e-06,0.509122,0.509122,0.509122,0.509122,0.509122,0.509122,0.694394,0.694394,0.694394
tiny_text_fact_qa,no_position,1,0,-0.00894,0.000988,0.000988,0.000988,1.000989,1.000989,1.000989,1.0,1.0,1.0,1.0,1.0,1.0,0.999012,0.999012,0.999012,0.999012,0.999012,0.999012,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,1.000989,1.000989,1.000989,1.0,1.0,1.0,1.0,1.0,1.0,0.999012,0.999012,0.999012,0.999012,0.999012,0.999012,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,1.000989,1.000989,1.000989,1.0,1.0,1.0,1.0,1.0,1.0,0.999012,0.999012,0.999012,0.999012,0.999012,0.999012,0.000988,0.000988,0.000988,0.00103,0.00103,0.00103
tiny_text_fact_qa,sinusoidal,1,0,-0.537738,0.000988,0.000988,0.000988,1.000989,1.000989,1.000989,1.0,1.0,1.0,1.0,1.0,1.0,0.999012,0.999012,0.999012,0.999012,0.999012,0.999012,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,1.000989,1.000989,1.000989,1.0,1.0,1.0,1.0,1.0,1.0,0.999012,0.999012,0.999012,0.999012,0.999012,0.999012,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,1.000989,1.000989,1.000989,1.0,1.0,1.0,1.0,1.0,1.0,0.999012,0.999012,0.999012,0.999012,0.999012,0.999012,0.000988,0.000988,0.000988,0.00103,0.00103,0.00103
tiny_text_fact_qa,alibi,1,0,-0.614276,0.000988,0.000988,0.000988,1.000989,1.000989,1.000989,1.0,1.0,1.0,1.0,1.0,1.0,0.999012,0.999012,0.999012,0.999012,0.999012,0.999012,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,1.000989,1.000989,1.000989,1.0,1.0,1.0,1.0,1.0,1.0,0.999012,0.999012,0.999012,0.999012,0.999012,0.999012,0.000988,0.000988,0.000988,0.000988,0.000988,0.000988,1.000989,1.000989,1.000989,1.0,1.0,1.0,1.0,1.0,1.0,0.999012,0.999012,0.999012,0.999012,0.999012,0.999012,0.000988,0.000988,0.000988,0.00103,0.00103,0.00103
tiny_text_fact_qa,rope_relative,1,0,-0.592746,0.000989,0.000989,0.000989,1.000989,1.000989,1.000989,1.0,1.0,1.0,1.0,1.0,1.0,0.999012,0.999012,0.999012,0.999012,0.999012,0.999012,0.000988,0.000988,0.000988,0.000989,0.000989,0.000989,1.000989,1.000989,1.000989,1.0,1.0,1.0,1.0,1.0,1.0,0.999012,0.999012,0.999012,0.999012,0.999012,0.999012,0.000988,0.000988,0.000988,0.000989,0.000989,0.000989,1.000989,1.000989,1.000989,1.0,1.0,1.0,1.0,1.0,1.0,0.999012,0.999012,0.999012,0.999012,0.999012,0.999012,0.000988,0.000988,0.000988,0.00103,0.00103,0.00103
tiny_text_fact_qa,phasewrap_bias,1,0,0.59159,0.000989,0.000989,0.000989,1.00099,1.00099,1.00099,1.0,1.0,1.0,1.0,1.0,1.0,0.999011,0.999011,0.999011,0.999011,0.999011,0.999011,0.000989,0.000989,0.000989,0.000989,0.000989,0.000989,1.00099,1.00099,1.00099,1.0,1.0,1.0,1.0,1.0,1.0,0.999011,0.999011,0.999011,0.999011,0.999011,0.999011,0.000989,0.000989,0.000989,0.000989,0.000989,0.000989,1.00099,1.00099,1.00099,1.0,1.0,1.0,1.0,1.0,1.0,0.999011,0.999011,0.999011,0.999011,0.999011,0.999011,0.000989,0.000989,0.000989,0.001031,0.001031,0.001031
tiny_text_fact_qa,phasewrap_adapter,1,0,0.593029,0.000989,0.000989,0.000989,1.00099,1.00099,1.00099,1.0,1.0,1.0,1.0,1.0,1.0,0.999011,0.999011,0.999011,0.999011,0.999011,0.999011,0.000989,0.000989,0.000989,0.000989,0.000989,0.000989,1.00099,1.00099,1.00099,1.0,1.0,1.0,1.0,1.0,1.0,0.999011,0.999011,0.999011,0.999011,0.999011,0.999011,0.000989,0.000989,0.000989,0.000989,0.000989,0.000989,1.00099,1.00099,1.00099,1.0,1.0,1.0,1.0,1.0,1.0,0.999011,0.999011,0.999011,0.999011,0.999011,0.999011,0.000989,0.000989,0.000989,0.001031,0.001031,0.001031
