task,seed,method,stage10_method_alias,epochs,learning_rate,attention_aux_weight,optimizer,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_target_attention,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_target_attention,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_target_attention
phase_cued_retrieval,307,no_position,no_position,70,0.03,0.6,full_batch_adam,4,2,4,0.690667,-0.00894,0.377586,1.458759,0.75,0.875,0.724884,0.725612,0.024388,0.624994,10.258589,28526.494382,0.0,0.018835,3.7e-05,0.846957,0.846957,0.010262,11.436301,92623.762691,0.0,0.066314,2.3e-05,0.729071,0.729071,0.013921
phase_cued_retrieval,307,sinusoidal,sinusoidal,70,0.03,0.6,full_batch_adam,4,2,4,0.606266,1.190237,0.383472,1.467371,0.75,0.875,0.718274,0.727047,0.033069,0.714429,10.665519,42852.477563,0.0,0.01835,2.5e-05,0.707845,0.707845,0.037531,11.408774,90108.87841,0.0,0.05128,1.4e-05,0.746745,0.746745,0.024161
phase_cued_retrieval,307,alibi,alibi,70,0.03,0.6,full_batch_adam,4,2,4,0.685164,1.004112,0.376602,1.457324,0.75,0.875,0.725493,0.726002,0.023998,0.629379,10.49976,36306.776265,0.0,0.01996,2.9e-05,0.764702,0.764702,0.011033,11.668586,116843.003561,0.0,0.055342,1.7e-05,0.739011,0.739011,0.009762
phase_cued_retrieval,307,rope_relative,rope,70,0.03,0.6,full_batch_adam,4,2,4,0.796928,1.183186,0.382073,1.465319,0.75,0.875,0.721567,0.746311,0.045771,0.582363,10.298978,29702.253862,0.0,0.019676,3.8e-05,0.817613,0.817613,0.011146,10.793238,48690.445161,0.0,0.076501,2.6e-05,0.657095,0.657095,0.01269
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,70,0.03,0.6,full_batch_adam,4,2,4,0.411664,-1.395535,0.158723,1.172013,1.0,1.0,0.859184,0.859184,0.140816,0.710797,10.330071,30640.282951,0.0,0.019259,3.5e-05,0.831984,0.831984,0.014198,11.107967,66700.41998,0.0,0.068298,2.2e-05,0.708659,0.708659,0.022905
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,70,0.03,0.6,full_batch_adam,4,2,4,0.415305,-1.423989,0.181659,1.199205,1.0,1.0,0.841405,0.841405,0.158595,0.706657,10.305957,29910.253165,0.0,0.019259,3.6e-05,0.841415,0.841415,0.013372,10.979451,58656.315405,0.0,0.074091,2.3e-05,0.696351,0.696351,0.025349
exact_offset_passkey,307,no_position,no_position,70,0.03,0.6,full_batch_adam,4,2,4,0.027053,-0.00894,0.025844,1.026181,1.0,1.0,0.974488,0.974488,0.025512,0.999995,9.171137,9615.553807,0.0,0.008451,0.00011,0.571552,0.571552,0.024189,9.829085,18565.958789,0.0,0.015851,6.4e-05,0.671363,0.671363,0.027955
exact_offset_passkey,307,sinusoidal,sinusoidal,70,0.03,0.6,full_batch_adam,4,2,4,0.02614,0.862167,0.025053,1.025369,1.0,1.0,0.975259,0.975259,0.024741,0.999997,10.08846,24063.697103,0.0,0.008523,5.7e-05,0.604174,0.604174,0.050137,10.865972,52363.887674,0.0,0.020506,2.2e-05,0.652538,0.652538,0.051135
exact_offset_passkey,307,alibi,alibi,70,0.03,0.6,full_batch_adam,4,2,4,0.02709,0.894877,0.025861,1.026198,1.0,1.0,0.974472,0.974472,0.025528,0.999981,8.300454,4025.699112,0.0,0.008302,0.000255,0.460311,0.460311,0.023116,9.087236,8841.712342,0.0,0.015823,0.000129,0.85331,0.85331,0.014298
exact_offset_passkey,307,rope_relative,rope,70,0.03,0.6,full_batch_adam,4,2,4,0.027305,0.890524,0.026076,1.026419,1.0,1.0,0.974261,0.974261,0.025739,0.999993,8.935693,7598.400195,0.0,0.008413,0.000133,0.528171,0.528171,0.030626,9.621896,15091.642846,0.0,0.015916,7.5e-05,0.677793,0.677793,0.036882
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,70,0.03,0.6,full_batch_adam,4,2,4,0.027948,-0.796509,0.026666,1.027024,1.0,1.0,0.973688,0.973688,0.026312,0.999962,9.004854,8142.512163,0.0,0.008887,0.00014,0.594717,0.594717,0.028135,9.503465,13406.104937,0.0,0.024559,7.8e-05,0.469881,0.469881,0.030917
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,70,0.03,0.6,full_batch_adam,4,2,4,0.027818,-0.766953,0.026543,1.026898,1.0,1.0,0.973807,0.973807,0.026193,0.999975,9.058656,8592.597182,0.0,0.008782,0.000135,0.564204,0.564204,0.026862,9.545109,13976.171175,0.0,0.024406,7.5e-05,0.456763,0.456763,0.028805
tiny_text_fact_qa,307,no_position,no_position,70,0.03,0.6,full_batch_adam,4,2,4,0.693647,-0.00894,0.693648,2.001002,0.5,0.75,0.499754,0.501826,0.001826,1.0,0.693648,2.001002,0.5,0.75,0.499754,0.501826,0.001826,0.999997,0.693648,2.001002,0.5,0.75,0.499754,0.501826,0.001826,0.523629
tiny_text_fact_qa,307,sinusoidal,sinusoidal,70,0.03,0.6,full_batch_adam,4,2,4,0.693665,0.700323,0.693665,2.001036,0.5,0.75,0.499746,0.501908,0.001908,1.0,0.693665,2.001036,0.5,0.75,0.499746,0.501908,0.001908,0.999998,0.693665,2.001036,0.5,0.75,0.499746,0.501908,0.001908,0.620191
tiny_text_fact_qa,307,alibi,alibi,70,0.03,0.6,full_batch_adam,4,2,4,0.693647,0.107059,0.693648,2.001001,0.5,0.75,0.499754,0.501823,0.001823,1.0,0.693648,2.001001,0.5,0.75,0.499754,0.501823,0.001823,0.999997,0.693648,2.001001,0.5,0.75,0.499754,0.501823,0.001823,0.526987
tiny_text_fact_qa,307,rope_relative,rope,70,0.03,0.6,full_batch_adam,4,2,4,0.693652,0.711573,0.693652,2.001011,0.5,0.75,0.499752,0.501843,0.001843,1.0,0.693652,2.001011,0.5,0.75,0.499752,0.501843,0.001843,0.999998,0.693652,2.001011,0.5,0.75,0.499752,0.501843,0.001843,0.567672
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,70,0.03,0.6,full_batch_adam,4,2,4,0.693655,-0.669152,0.693656,2.001017,0.5,0.75,0.49975,0.501877,0.001877,1.0,0.693656,2.001017,0.5,0.75,0.49975,0.501877,0.001877,0.999996,0.693656,2.001017,0.5,0.75,0.49975,0.501877,0.001877,0.642159
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,70,0.03,0.6,full_batch_adam,4,2,4,0.693653,-0.655912,0.693654,2.001014,0.5,0.75,0.499751,0.501871,0.001871,1.0,0.693654,2.001014,0.5,0.75,0.499751,0.501871,0.001871,0.999995,0.693654,2.001014,0.5,0.75,0.499751,0.501871,0.001871,0.635189
