task,method,seed_count,failed_run_count,selected_position_scale_mean,selected_cue_scale_mean,selected_distance_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
phase_cued_retrieval,no_position,5,0,0.0,4.0,8.0,0.266694,0.084364,0.523614,1.354358,1.08899,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.719709,0.922657,0.862196,0.795243,0.922657,0.154492,0.077343,0.231641,0.553311,0.417286,0.6718,1.757203,1.541151,1.965412,1.0,1.0,1.0,1.0,1.0,1.0,0.583019,0.511627,0.669234,0.583019,0.508451,0.659095,0.416981,0.332354,0.491549,0.845943,0.700688,0.991198,2.363269,2.018888,2.674807,0.9,0.8,1.0,0.95,0.9,1.0,0.471171,0.41678,0.523073,0.498024,0.473469,0.525437,0.442411,0.36037,0.4923
phase_cued_retrieval,sinusoidal,5,0,0.1,4.0,8.0,0.253209,0.070879,0.494897,1.338936,1.073568,1.706552,0.95,0.85,1.0,0.975,0.925,1.0,0.835942,0.719709,0.926997,0.87382,0.807943,0.934281,0.142868,0.065719,0.220017,0.554629,0.406636,0.675152,1.759016,1.539896,1.93083,1.0,1.0,1.0,1.0,1.0,1.0,0.584193,0.508451,0.672756,0.584193,0.511627,0.671168,0.415807,0.323938,0.491549,0.856611,0.72832,0.98758,2.383929,2.060271,2.708189,0.8,0.65,0.95,0.9,0.825,0.975,0.467878,0.416904,0.518852,0.507699,0.47061,0.550335,0.435796,0.354713,0.48924
phase_cued_retrieval,alibi,5,0,0.0,4.0,8.0,0.266694,0.084364,0.521867,1.354358,1.08899,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.72598,0.922657,0.862196,0.801735,0.922657,0.154492,0.077343,0.227652,0.553311,0.401227,0.6718,1.757203,1.539761,1.952026,1.0,1.0,1.0,1.0,1.0,1.0,0.583019,0.510039,0.669234,0.583019,0.510039,0.659095,0.416981,0.344001,0.489961,0.845943,0.700688,0.999571,2.363269,2.018951,2.741509,0.9,0.75,1.0,0.95,0.9,1.0,0.471171,0.416904,0.525437,0.498024,0.47061,0.522827,0.442411,0.356353,0.4923
phase_cued_retrieval,rope_relative,5,0,0.0,4.0,8.0,0.266694,0.105213,0.501017,1.354358,1.08899,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.718474,0.922657,0.862196,0.806709,0.917683,0.154492,0.077343,0.231641,0.553311,0.43147,0.675152,1.757203,1.534458,1.965412,1.0,1.0,1.0,1.0,1.0,1.0,0.583019,0.516027,0.655999,0.583019,0.511627,0.667646,0.416981,0.344001,0.489961,0.845943,0.716297,0.98758,2.363269,2.018888,2.707588,0.9,0.8,1.0,0.95,0.9,1.0,0.471171,0.416904,0.523073,0.498024,0.471353,0.527801,0.442411,0.363692,0.491343
phase_cued_retrieval,phasewrap_bias,5,0,0.0,4.0,8.0,0.266694,0.105213,0.523614,1.354358,1.08899,1.753384,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.719709,0.922657,0.862196,0.806709,0.922657,0.154492,0.077343,0.227652,0.553311,0.417286,0.675152,1.757203,1.534458,1.965412,1.0,1.0,1.0,1.0,1.0,1.0,0.583019,0.508451,0.673714,0.583019,0.517615,0.659095,0.416981,0.330766,0.489961,0.845943,0.700688,0.98758,2.363269,2.018951,2.708189,0.9,0.8,1.0,0.95,0.9,1.0,0.471171,0.416904,0.523073,0.498024,0.47061,0.523073,0.442411,0.36037,0.491343
phase_cued_retrieval,phasewrap_adapter,5,0,0.0,4.0,8.0,0.266694,0.105213,0.523614,1.354358,1.08899,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.719709,0.922657,0.862196,0.806709,0.922657,0.154492,0.077343,0.231641,0.553311,0.417286,0.6718,1.757203,1.541151,1.952026,1.0,1.0,1.0,1.0,1.0,1.0,0.583019,0.510039,0.667646,0.583019,0.511627,0.667646,0.416981,0.330766,0.491549,0.845943,0.716297,0.991198,2.363269,2.018951,2.741509,0.9,0.8,1.0,0.95,0.9,1.0,0.471171,0.417028,0.522827,0.498024,0.473469,0.525437,0.442411,0.36037,0.4923
exact_offset_passkey,no_position,5,0,0.0,10.6,-2.0,5.482022,1.706897,8.843439,200226.742801,28.211764,600026.542801,0.65,0.35,0.95,0.692648,0.393265,0.952632,0.490143,0.205889,0.782873,0.685014,0.35076,1.0,0.369268,0.152141,0.601381,6.998772,1.472568,12.066251,400034.003233,36.174099,800031.832368,0.6,0.2,0.9,0.632196,0.26405,0.911111,0.422327,0.144653,0.701264,0.661104,0.303229,1.0,0.418979,0.140042,0.736812,14.161048,7.088434,20.593411,504484894.158241,104484989.962984,904484809.59839,0.25,0.1,0.4,0.29989,0.161921,0.44376,0.164977,0.073187,0.25,0.64473,0.278665,1.0,0.560795,0.31632,0.75
exact_offset_passkey,sinusoidal,5,0,9.6,3.4,1.8,1.393389,0.007311,4.149,200.811978,1.007235,600.407486,0.95,0.85,1.0,0.952632,0.857895,1.0,0.938329,0.845599,0.992759,0.988329,0.976628,0.997047,0.061671,0.009599,0.154401,0.042583,0.010541,0.087397,1.044594,1.011477,1.090668,1.0,1.0,1.0,1.0,1.0,1.0,0.95939,0.922984,0.988892,0.95939,0.919937,0.987749,0.04061,0.012251,0.080063,4.701396,0.497487,12.236846,104484778.089105,1.74343,313454328.386779,0.55,0.35,0.8,0.698093,0.510947,0.891667,0.55668,0.362688,0.753431,0.818064,0.626063,0.940509,0.305145,0.093806,0.519833
exact_offset_passkey,alibi,5,0,0.2,10.6,-1.2,5.302353,1.157699,10.040385,200211.761521,13.230483,600200.200001,0.65,0.3,0.95,0.692648,0.393265,0.952632,0.48998,0.205726,0.8,0.667541,0.333287,1.0,0.351795,0.119335,0.634254,6.830163,2.149191,11.897642,400015.884308,8.128653,800013.713442,0.6,0.3,0.9,0.632196,0.34897,0.907143,0.42399,0.129845,0.8,0.649218,0.291343,1.0,0.407093,0.128155,0.736812,13.906592,6.963834,20.593411,504484820.105376,104484891.132268,808969585.41879,0.25,0.1,0.4,0.300043,0.15676,0.449482,0.164833,0.072755,0.25,0.635684,0.26962,1.0,0.551749,0.289183,0.75
exact_offset_passkey,rope_relative,5,0,9.6,4.0,0.4,1.735319,0.133438,4.26853,201.394791,1.174831,600.565103,0.95,0.85,1.0,0.952632,0.857895,1.0,0.733775,0.519039,0.932698,0.783775,0.519039,0.991349,0.266225,0.081398,0.480961,0.611825,0.24148,0.961396,1.97935,1.349553,2.741621,1.0,1.0,1.0,1.0,1.0,1.0,0.638638,0.433821,0.851847,0.638638,0.432564,0.786791,0.361362,0.211926,0.566179,4.827082,0.921766,12.482062,104484778.05469,2.579722,313454328.705677,0.8,0.5,1.0,0.831427,0.54428,1.0,0.401723,0.30694,0.496506,0.567228,0.370741,0.791129,0.576178,0.412046,0.701229
exact_offset_passkey,phasewrap_bias,5,0,0.0,10.6,-2.0,5.482022,1.108583,9.670858,200226.742801,28.211764,600200.200001,0.65,0.3,0.95,0.692648,0.393265,0.952632,0.490143,0.179081,0.782873,0.685014,0.35076,1.0,0.369268,0.15,0.651381,6.998772,2.027684,11.511134,400034.003233,36.174099,800002.004759,0.6,0.3,0.9,0.632196,0.34897,0.911111,0.422327,0.144653,0.8,0.661104,0.303229,1.0,0.418979,0.140042,0.676854,14.161048,7.218289,20.463556,504484894.158241,104484989.962984,808969585.41879,0.25,0.1,0.4,0.29989,0.198211,0.449482,0.164977,0.073187,0.25,0.64473,0.278665,1.0,0.560795,0.31632,0.75
exact_offset_passkey,phasewrap_adapter,5,0,0.0,10.6,-2.0,5.482022,1.706897,10.040385,200226.742801,28.211764,600200.200001,0.65,0.3,0.95,0.692648,0.432504,0.952632,0.490143,0.180286,0.8,0.685014,0.35076,1.0,0.369268,0.104282,0.551381,6.998772,2.027684,12.066251,400034.003233,64.219544,800031.832368,0.6,0.3,0.9,0.632196,0.34897,0.907143,0.422327,0.144653,0.721063,0.661104,0.322208,1.0,0.418979,0.140042,0.676854,14.161048,7.088434,20.593411,504484894.158241,104484989.962984,904484775.863714,0.25,0.1,0.4,0.29989,0.162024,0.407469,0.164977,0.073187,0.25,0.64473,0.278665,1.0,0.560795,0.31632,0.75
tiny_text_fact_qa,no_position,5,0,0.0,24.0,0.0,0.156775,0.0,0.470324,1.237988,1.0,1.713963,0.95,0.85,1.0,0.952778,0.858333,1.0,0.952174,0.856522,1.0,0.954348,0.863043,1.0,0.004348,0.0,0.013043,0.663398,0.0,1.39611,2.732176,1.0,4.830175,0.8,0.6,1.0,0.820238,0.627381,1.0,0.807692,0.612821,1.0,0.810256,0.620513,1.0,0.010256,0.0,0.020513,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
tiny_text_fact_qa,sinusoidal,5,0,4.8,20.0,0.0,0.156775,0.0,0.470324,1.237988,1.0,1.713963,0.95,0.85,1.0,0.952778,0.858333,1.0,0.952174,0.856522,1.0,0.954348,0.863043,1.0,0.004348,0.0,0.013043,0.00823,0.0,0.017951,1.008318,1.0,1.018158,1.0,1.0,1.0,1.0,1.0,1.0,0.991942,0.982454,1.0,0.991942,0.983884,1.0,0.008058,0.0,0.017546,1e-06,0.0,3e-06,1.000001,1.0,1.000003,1.0,1.0,1.0,1.0,1.0,1.0,0.999999,0.999997,1.0,0.999999,0.999997,1.0,1e-06,0.0,3e-06
tiny_text_fact_qa,alibi,5,0,0.3,24.0,0.0,0.156775,0.0,0.470324,1.237988,1.0,1.713963,0.95,0.85,1.0,0.952778,0.858333,1.0,0.952174,0.856522,1.0,0.954348,0.863043,1.0,0.004348,0.0,0.013043,0.669643,0.0,1.435202,2.795248,1.0,5.107034,0.8,0.6,1.0,0.828704,0.636111,1.0,0.807853,0.612205,1.0,0.812656,0.624218,1.0,0.012656,0.0,0.025311,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
tiny_text_fact_qa,rope_relative,5,0,4.8,22.4,0.0,0.156775,0.0,0.470324,1.237988,1.0,1.713963,0.95,0.85,1.0,0.952778,0.858333,1.0,0.952174,0.856522,1.0,0.954348,0.863043,1.0,0.004348,0.0,0.013043,0.232333,0.0,0.46723,1.315025,1.0,1.63005,1.0,1.0,1.0,1.0,1.0,1.0,0.862598,0.724394,1.0,0.862598,0.724394,1.0,0.137402,0.0,0.275606,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
tiny_text_fact_qa,phasewrap_bias,5,0,3.2,24.0,0.0,0.16675,0.004909,0.475391,1.248088,1.004969,1.719094,0.95,0.85,1.0,0.952778,0.858333,1.0,0.942328,0.851673,0.995151,0.944502,0.858046,0.995003,0.014194,0.004348,0.02404,2.249969,0.0,6.456904,7391.140313,1.0,22170.772767,0.9,0.7,1.0,0.904545,0.713636,1.0,0.816783,0.609597,1.0,0.83476,0.663527,1.0,0.101194,0.0,0.238873,0.021324,0.0,0.043076,1.021903,1.0,1.044257,1.0,1.0,1.0,1.0,1.0,1.0,0.979245,0.95808,1.0,0.979245,0.95808,1.0,0.020755,0.0,0.04192
tiny_text_fact_qa,phasewrap_adapter,5,0,2.4,24.0,0.0,0.160228,0.0,0.473777,1.241471,1.0,1.717446,0.95,0.85,1.0,0.952778,0.858333,1.0,0.948751,0.853099,1.0,0.950924,0.863043,1.0,0.007771,0.0,0.016466,1.246477,0.0,3.484609,54.811458,1.0,162.078011,0.9,0.7,1.0,0.904762,0.714286,1.0,0.826288,0.62629,1.0,0.844964,0.682318,1.0,0.092391,0.0,0.239818,0.0069,0.0,0.020699,1.007021,1.0,1.014041,1.0,1.0,1.0,1.0,1.0,1.0,0.99322,0.97966,1.0,0.99322,0.979661,1.0,0.00678,0.0,0.020339
