task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,4,2,4,3,0.0,0.0,3.780863,0.253747,0.015549,1.01567,1.0,1.0,0.984574,0.984574,0.015426,4.047578,57.258608,0.0,0.27,0.019079,0.61756,0.61756,4.08337,59.345127,0.0,0.105241,0.022901,0.207621,0.207621
exact_offset_passkey,307,no_position,no_position,4,2,4,3,1.0,0.0,3.780863,0.253747,4.108898,60.87962,0.0,0.063244,0.016511,0.204804,0.204804,4.429184,83.862934,0.0,0.041739,0.011933,0.215335,0.215335,4.106819,60.753159,0.0,0.093229,0.020402,0.237973,0.237973
tiny_text_fact_qa,307,no_position,no_position,4,2,4,3,1.0,0.0,3.780863,0.253747,0.46551,1.592827,1.0,1.0,0.629317,0.629317,0.370683,0.62535,1.8689,1.0,1.0,0.535074,0.535074,0.464926,0.761305,2.141069,1.0,1.0,0.468199,0.468199,0.531801
phase_cued_retrieval,307,sinusoidal,sinusoidal,4,2,4,3,0.0,6.848719,2.605012,-0.109662,0.001444,1.001445,1.0,1.0,0.998557,0.998557,0.001443,4.018241,55.603186,0.5,0.625,0.362438,0.861096,0.636667,5.038745,154.276332,0.0,0.116477,0.007324,0.532289,0.532289
exact_offset_passkey,307,sinusoidal,sinusoidal,4,2,4,3,1.0,6.848719,2.605012,-0.109662,0.228884,1.257196,1.0,1.0,0.795437,0.795437,0.204563,0.266819,1.305804,1.0,1.0,0.765814,0.765814,0.234186,0.88778,2.429729,0.25,0.625,0.414311,0.426207,0.176207
tiny_text_fact_qa,307,sinusoidal,sinusoidal,4,2,4,3,1.0,6.848719,2.605012,-0.109662,0.017537,1.017691,1.0,1.0,0.982617,0.982617,0.017383,0.021935,1.022178,1.0,1.0,0.978303,0.978303,0.021697,0.107286,1.113252,1.0,1.0,0.898285,0.898285,0.101715
phase_cued_retrieval,307,alibi,alibi,4,2,4,3,0.0,0.373142,3.78088,0.626858,0.015562,1.015683,1.0,1.0,0.984561,0.984561,0.015439,4.049552,57.371725,0.0,0.27,0.019062,0.620073,0.620073,4.083848,59.373481,0.0,0.105241,0.022965,0.210706,0.210706
exact_offset_passkey,307,alibi,alibi,4,2,4,3,1.0,0.373142,3.78088,0.626858,4.108906,60.880052,0.0,0.063244,0.016511,0.204805,0.204805,4.431495,84.057005,0.0,0.041739,0.011907,0.217874,0.217874,4.11185,61.059603,0.0,0.093229,0.02027,0.242234,0.242234
tiny_text_fact_qa,307,alibi,alibi,4,2,4,3,1.0,0.373142,3.78088,0.626858,0.465504,1.592816,1.0,1.0,0.629321,0.629321,0.370679,0.625342,1.868885,1.0,1.0,0.535078,0.535078,0.464922,0.761299,2.141055,1.0,1.0,0.468202,0.468202,0.531798
phase_cued_retrieval,307,rope_relative,rope,4,2,4,3,0.0,11.584078,2.662034,0.608718,0.011825,1.011895,1.0,1.0,0.988246,0.988246,0.011754,4.037767,56.699571,0.5,0.625,0.120054,0.612016,0.87321,6.870285,963.223263,0.0,0.032257,0.002181,0.299406,0.299406
exact_offset_passkey,307,rope_relative,rope,4,2,4,3,1.0,11.584078,2.662034,0.608718,1.405008,4.075559,1.0,1.0,0.248237,0.248237,0.751763,1.396137,4.039563,1.0,1.0,0.24766,0.24766,0.75234,1.304088,3.684328,1.0,1.0,0.273914,0.273914,0.726086
tiny_text_fact_qa,307,rope_relative,rope,4,2,4,3,1.0,11.584078,2.662034,0.608718,0.148931,1.160593,1.0,1.0,0.861639,0.861639,0.138361,0.159575,1.173013,1.0,1.0,0.852506,0.852506,0.147494,0.158907,1.172229,1.0,1.0,0.853086,0.853086,0.146914
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,4,2,4,3,0.0,-3.073094,4.828843,0.123491,0.001904,1.001906,1.0,1.0,0.998098,0.998098,0.001902,4.667191,106.398474,0.0,0.275,0.0094,0.777245,0.777245,5.494782,243.418452,0.0,0.042884,0.008916,0.504556,0.504556
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,4,2,4,3,1.0,-3.073094,4.828843,0.123491,3.411529,30.311545,0.0,0.070741,0.034467,0.152912,0.152912,4.077439,58.994197,0.0,0.052139,0.016954,0.200459,0.200459,4.331223,76.03726,0.0,0.079312,0.01926,0.307275,0.307275
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,4,2,4,3,1.0,-3.073094,4.828843,0.123491,0.168494,1.183521,1.0,1.0,0.845481,0.845481,0.154519,0.271432,1.311841,1.0,1.0,0.762287,0.762287,0.237713,0.322655,1.380789,1.0,1.0,0.724709,0.724709,0.275291
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,4,2,4,3,0.0,-2.438463,4.644675,0.203873,0.003029,1.003034,1.0,1.0,0.996975,0.996975,0.003025,4.284569,72.57127,0.0,0.275,0.014055,0.718857,0.718857,4.837711,126.180249,0.0,0.072627,0.013698,0.431326,0.431326
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,4,2,4,3,1.0,-2.438463,4.644675,0.203873,3.620372,37.351451,0.0,0.065508,0.028156,0.14019,0.14019,4.177949,65.231943,0.0,0.049043,0.015338,0.187944,0.187944,4.472833,87.604518,0.0,0.077863,0.015439,0.317434,0.317434
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,4,2,4,3,1.0,-2.438463,4.644675,0.203873,0.222042,1.248623,1.0,1.0,0.801686,0.801686,0.198314,0.335062,1.398028,1.0,1.0,0.715294,0.715294,0.284706,0.412381,1.510409,1.0,1.0,0.662672,0.662672,0.337328
phase_cued_retrieval,311,no_position,no_position,4,2,4,3,0.0,0.0,3.681757,0.210879,0.716355,2.046958,0.75,0.875,0.704934,0.862615,0.240362,3.913738,50.08583,0.0,0.277778,0.021073,0.555525,0.555525,4.445276,85.223424,0.0,0.071254,0.013296,0.218028,0.218028
exact_offset_passkey,311,no_position,no_position,4,2,4,3,1.0,0.0,3.681757,0.210879,3.95645,52.271429,0.0,0.087047,0.020796,0.207653,0.207653,3.365505,28.948098,0.0,0.208333,0.035003,0.274375,0.274375,3.552781,34.910276,0.0,0.189394,0.055723,0.266845,0.266845
tiny_text_fact_qa,311,no_position,no_position,4,2,4,3,1.0,0.0,3.681757,0.210879,0.509013,1.663648,1.0,1.0,0.602213,0.602213,0.397787,0.653025,1.921343,1.0,1.0,0.52091,0.52091,0.47909,0.821282,2.273413,1.0,1.0,0.441328,0.441328,0.558672
phase_cued_retrieval,311,sinusoidal,sinusoidal,4,2,4,3,0.0,6.828968,2.277951,3.866853,0.792902,2.209799,0.75,0.833333,0.692232,0.865674,0.126157,4.650949,104.684317,0.0,0.208333,0.011305,0.654032,0.654032,5.229728,186.742093,0.0,0.118182,0.014236,0.694616,0.694616
exact_offset_passkey,311,sinusoidal,sinusoidal,4,2,4,3,1.0,6.828968,2.277951,3.866853,0.435122,1.545152,1.0,1.0,0.655375,0.655375,0.344625,0.764321,2.147535,0.5,0.75,0.530321,0.664357,0.380244,0.354287,1.425165,1.0,1.0,0.70369,0.70369,0.29631
tiny_text_fact_qa,311,sinusoidal,sinusoidal,4,2,4,3,1.0,6.828968,2.277951,3.866853,0.032889,1.033436,1.0,1.0,0.967714,0.967714,0.032286,0.039636,1.040432,1.0,1.0,0.961211,0.961211,0.038789,0.0372,1.0379,1.0,1.0,0.963493,0.963493,0.036507
phase_cued_retrieval,311,alibi,alibi,4,2,4,3,0.0,0.394582,3.681806,0.605418,0.716382,2.047013,0.75,0.875,0.704913,0.862594,0.240381,3.913427,50.070233,0.0,0.277778,0.021082,0.5555,0.5555,4.439889,84.765568,0.0,0.071254,0.013338,0.216216,0.216216
exact_offset_passkey,311,alibi,alibi,4,2,4,3,1.0,0.394582,3.681806,0.605418,3.956465,52.272218,0.0,0.087047,0.020795,0.207657,0.207657,3.358764,28.753617,0.0,0.208333,0.035202,0.272453,0.272453,3.546225,34.682138,0.0,0.189394,0.055823,0.264072,0.264072
tiny_text_fact_qa,311,alibi,alibi,4,2,4,3,1.0,0.394582,3.681806,0.605418,0.508992,1.663613,1.0,1.0,0.602225,0.602225,0.397775,0.653003,1.921301,1.0,1.0,0.520922,0.520922,0.479078,0.821261,2.273366,1.0,1.0,0.441338,0.441338,0.558662
phase_cued_retrieval,311,rope_relative,rope,4,2,4,3,0.0,11.192001,2.435921,2.987374,0.957248,2.604518,0.75,0.8125,0.688828,0.868912,0.146756,4.517156,91.574775,0.0,0.288462,0.011536,0.567293,0.567293,4.935972,139.2084,0.0,0.059167,0.012989,0.188369,0.188369
exact_offset_passkey,311,rope_relative,rope,4,2,4,3,1.0,11.192001,2.435921,2.987374,1.689229,5.415307,0.75,0.8125,0.19462,0.224292,0.525708,1.436753,4.207015,1.0,1.0,0.244901,0.244901,0.755099,1.391588,4.02123,0.75,0.875,0.250414,0.274424,0.475576
tiny_text_fact_qa,311,rope_relative,rope,4,2,4,3,1.0,11.192001,2.435921,2.987374,0.22868,1.25694,1.0,1.0,0.795681,0.795681,0.204319,0.216503,1.241726,1.0,1.0,0.806049,0.806049,0.193951,0.201004,1.22263,1.0,1.0,0.817933,0.817933,0.182067
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,4,2,4,3,0.0,-2.300794,3.910574,-0.345151,0.765535,2.150145,0.75,0.875,0.706989,0.873101,0.239336,4.011844,55.248644,0.0,0.279412,0.01819,0.564439,0.564439,4.171689,64.824846,0.0,0.049769,0.018368,0.256235,0.256235
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,4,2,4,3,1.0,-2.300794,3.910574,-0.345151,3.522016,33.85262,0.0,0.105317,0.031915,0.165682,0.165682,2.641625,14.035994,0.0,0.375,0.071254,0.336581,0.336581,3.929693,50.89134,0.0,0.188753,0.027808,0.378921,0.378921
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,4,2,4,3,1.0,-2.300794,3.910574,-0.345151,0.34555,1.412766,1.0,1.0,0.709934,0.709934,0.290066,0.468709,1.59793,1.0,1.0,0.625959,0.625959,0.374041,0.682934,1.979678,1.0,1.0,0.506624,0.506624,0.493376
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,4,2,4,3,0.0,-1.944936,3.891427,-0.428498,0.710163,2.034322,0.75,0.875,0.708812,0.86851,0.238902,3.836705,46.372418,0.0,0.28125,0.021569,0.564163,0.564163,4.061699,58.072917,0.0,0.052141,0.020319,0.244134,0.244134
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,4,2,4,3,1.0,-1.944936,3.891427,-0.428498,3.667355,39.148209,0.0,0.075658,0.027479,0.171378,0.171378,2.702277,14.913647,0.0,0.291667,0.067066,0.311197,0.311197,3.941805,51.511489,0.0,0.208065,0.03157,0.39224,0.39224
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,4,2,4,3,1.0,-1.944936,3.891427,-0.428498,0.385561,1.470439,1.0,1.0,0.682397,0.682397,0.317603,0.538858,1.714048,1.0,1.0,0.58411,0.58411,0.41589,0.784851,2.192081,1.0,1.0,0.457968,0.457968,0.542032
phase_cued_retrieval,313,no_position,no_position,4,2,4,3,0.0,0.0,3.534256,0.103387,0.024756,1.025065,1.0,1.0,0.975554,0.975554,0.024446,3.897518,49.279968,0.0,0.291667,0.022036,0.592163,0.592163,4.09641,60.124078,0.0,0.079917,0.019476,0.199868,0.199868
exact_offset_passkey,313,no_position,no_position,4,2,4,3,1.0,0.0,3.534256,0.103387,4.03302,56.431089,0.0,0.060473,0.017788,0.238714,0.238714,2.204349,9.064353,0.5,0.516667,0.474396,0.547641,0.111855,4.850768,127.838508,0.0,0.082518,0.010453,0.354419,0.354419
tiny_text_fact_qa,313,no_position,no_position,4,2,4,3,1.0,0.0,3.534256,0.103387,1.222464,3.395543,0.75,0.772727,0.429,0.439439,0.353266,0.757893,2.133775,1.0,1.0,0.468655,0.468655,0.531345,0.918918,2.506576,1.0,1.0,0.400991,0.400991,0.599009
phase_cued_retrieval,313,sinusoidal,sinusoidal,4,2,4,3,0.0,7.063244,2.347477,-0.589197,0.002372,1.002374,1.0,1.0,0.997631,0.997631,0.002369,7.075245,1182.332935,0.0,0.1875,0.001197,0.79224,0.79224,5.80746,332.772744,0.0,0.103259,0.003784,0.513895,0.513895
exact_offset_passkey,313,sinusoidal,sinusoidal,4,2,4,3,1.0,7.063244,2.347477,-0.589197,0.216174,1.241319,1.0,1.0,0.805775,0.805775,0.194225,0.340314,1.405388,1.0,1.0,0.752484,0.752484,0.247516,0.897824,2.454258,0.5,0.75,0.448931,0.597054,0.15118
tiny_text_fact_qa,313,sinusoidal,sinusoidal,4,2,4,3,1.0,7.063244,2.347477,-0.589197,0.061907,1.063863,1.0,1.0,0.942241,0.942241,0.057759,0.022276,1.022526,1.0,1.0,0.97797,0.97797,0.02203,0.081174,1.08456,1.0,1.0,0.923609,0.923609,0.076391
phase_cued_retrieval,313,alibi,alibi,4,2,4,3,0.0,0.448346,3.534343,0.551654,0.024784,1.025093,1.0,1.0,0.975528,0.975528,0.024472,3.899295,49.367614,0.0,0.291667,0.022018,0.594721,0.594721,4.09911,60.28659,0.0,0.079917,0.019413,0.203223,0.203223
